[14:33:40] [INFO] [main] 토큰 발급 중...
[14:33:44] [INFO] [main] 기존 보유 종목 포지션 복원 중...
[14:55:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:55:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:56:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:57:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:58:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:59:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:00:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[15:01:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
